risk_score,w_risky,국내주식_코스피,국내주식_코스닥,미국주식_SP500,미국주식_나스닥,신흥국_인도,신흥국_중국,국내채권_국고채단중기,국내채권_국고채장기,국내채권_회사채,국내채권_종합,해외채권_미국국채,원자재_금,무위험(현금성),exp_ret_ann_pct,vol_ann_pct,down_risk_q_pct,cvar_95_q_pct
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.08,0.03,0.16
1.5,0.05,0.0005,0.0135,0.005,0.02,0.0005,0.007,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.9505,0.15,0.76,0.31,-0.26
2.0,0.1,0.001,0.027,0.01,0.04,0.001,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.901,0.29,1.52,0.62,-0.93
2.5,0.15,0.0015,0.0405,0.015,0.06,0.0015,0.021,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.8515,0.43,2.28,0.92,-1.63
3.0,0.2,0.002,0.054,0.02,0.08,0.002,0.028,0.002,0.002,0.002,0.002,0.002,0.002,0.802,0.57,3.04,1.22,-2.35
3.5,0.25,0.0025,0.0675,0.025,0.1,0.0025,0.035,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.7525,0.71,3.8,1.53,-3.07
4.0,0.3,0.003,0.081,0.03,0.12,0.003,0.042,0.003,0.003,0.003,0.003,0.003,0.003,0.703,0.85,4.56,1.83,-3.79
4.5,0.35,0.0035,0.0945,0.035,0.14,0.0035,0.049,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.6535,0.99,5.32,2.13,-4.51
5.0,0.4,0.004,0.108,0.04,0.16,0.004,0.056,0.004,0.004,0.004,0.004,0.004,0.004,0.604,1.14,6.08,2.43,-5.22
5.5,0.45,0.0045,0.1215,0.045,0.18,0.0045,0.063,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.5545,1.28,6.84,2.74,-5.93
6.0,0.5,0.005,0.135,0.05,0.2,0.005,0.07,0.005,0.005,0.005,0.005,0.005,0.005,0.505,1.42,7.6,3.04,-6.64
6.5,0.55,0.0055,0.1485,0.055,0.22,0.0055,0.077,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.4555,1.56,8.36,3.34,-7.34
7.0,0.6,0.006,0.162,0.06,0.24,0.006,0.084,0.006,0.006,0.006,0.006,0.006,0.006,0.406,1.7,9.13,3.65,-8.04
7.5,0.625,0.00625,0.16875,0.0625,0.25,0.00625,0.0875,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.38125,1.77,9.51,3.8,-8.39
8.0,0.65,0.0065,0.1755,0.065,0.26,0.0065,0.091,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.3565,1.84,9.89,3.95,-8.74
8.5,0.675,0.00675,0.18225,0.0675,0.27,0.00675,0.0945,0.00675,0.00675,0.00675,0.00675,0.00675,0.00675,0.33175,1.91,10.27,4.1,-9.09
9.0,0.7,0.007,0.189,0.07,0.28,0.007,0.098,0.007,0.007,0.007,0.007,0.007,0.007,0.307,1.98,10.65,4.25,-9.43
9.5,0.7,0.007,0.189,0.07,0.28,0.007,0.098,0.007,0.007,0.007,0.007,0.007,0.007,0.307,1.98,10.65,4.25,-9.43
10.0,0.7,0.007,0.189,0.07,0.28,0.007,0.098,0.007,0.007,0.007,0.007,0.007,0.007,0.307,1.98,10.65,4.25,-9.43
