date,risk_score,w_risky,lambda_implied,lambda_market,lambda_ratio
2016-01-29,2.0,0.1,21.8775,3.0,7.2925
2016-01-29,4.0,0.3,7.2925,3.0,2.4308
2016-01-29,6.0,0.5,4.3755,3.0,1.4585
2016-01-29,7.2,0.61,3.5865,3.0,1.1955
2016-01-29,9.0,0.7,3.1254,3.0,1.0418
2016-04-27,2.0,0.1,23.2312,3.0,7.7437
2016-04-27,4.0,0.3,7.7437,3.0,2.5812
2016-04-27,6.0,0.5,4.6462,3.0,1.5487
2016-04-27,7.2,0.61,3.8084,3.0,1.2695
2016-04-27,9.0,0.7,3.3187,3.0,1.1062
2016-07-25,2.0,0.1,22.0447,3.0,7.3482
2016-07-25,4.0,0.3,7.3482,3.0,2.4494
2016-07-25,6.0,0.5,4.4089,3.0,1.4696
2016-07-25,7.2,0.61,3.6139,3.0,1.2046
2016-07-25,9.0,0.7,3.1492,3.0,1.0497
2016-10-20,2.0,0.1,17.3085,3.0,5.7695
2016-10-20,4.0,0.3,5.7695,3.0,1.9232
2016-10-20,6.0,0.5,3.4617,3.0,1.1539
2016-10-20,7.2,0.61,2.8375,3.0,0.9458
2016-10-20,9.0,0.7,2.4726,3.0,0.8242
2017-01-17,2.0,0.1,15.9255,3.0,5.3085
2017-01-17,4.0,0.3,5.3085,3.0,1.7695
2017-01-17,6.0,0.5,3.1851,3.0,1.0617
2017-01-17,7.2,0.61,2.6107,3.0,0.8702
2017-01-17,9.0,0.7,2.2751,3.0,0.7584
2017-04-14,2.0,0.1,14.2744,3.0,4.7581
2017-04-14,4.0,0.3,4.7581,3.0,1.586
2017-04-14,6.0,0.5,2.8549,3.0,0.9516
2017-04-14,7.2,0.61,2.3401,3.0,0.78
2017-04-14,9.0,0.7,2.0392,3.0,0.6797
2017-07-12,2.0,0.1,13.6309,3.0,4.5436
2017-07-12,4.0,0.3,4.5436,3.0,1.5145
2017-07-12,6.0,0.5,2.7262,3.0,0.9087
2017-07-12,7.2,0.61,2.2346,3.0,0.7449
